statement_id,statement_text,GroenLinks-PvdA,D66,CDA,SP,Partij voor de Dieren,ChristenUnie,Volt,BIJ1,Piratenpartij,Vrij Verbond,PVV,VVD,NSC,BBB,DENK,FvD,SGP,JA21,Vrede voor Dieren,BVNL,Libertaire Partij,50PLUS,FNP,De Linie
t18,De regering moet ervoor zorgen dat er in 2030 minstens de helft minder stikstofIcon in de lucht komt ten opzichte van 2019.,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
t19,Abortus moet uit het Wetboek van StrafrechtIcon.,1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1
t20,Verhoging van het minimumloonIcon moet niet langer automatisch leiden tot verhoging van de bijstandsuitkering.,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1
t21,De hoeveelheid vee in Nederland moet met minstens de helft omlaag.,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
t22,Illegaal verblijf in Nederland moet strafbaar worden.,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1
t23,In plaats van belasting te betalen voor het bezit van een auto moeten automobilisten per gereden kilometer gaan betalen.,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
t24,Het eigen risico bij zorgverzekeringenIcon wordt per 2027 gehalveerd. Dat moet worden teruggedraaid.,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,1,-1,-1,1,-1
t25,Psychisch lijden mag geen reden zijn voor euthanasieIcon.,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1
t26,De regering moet het bouwen van woningen op landbouwgrond makkelijker maken.,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1
t27,Er moet een wet komen waarin staat dat de overheid nooit de afkomst of nationaliteit van mensen mag gebruiken om risico’s op criminaliteit in te schatten.,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1
t28,De minimumleeftijd voor sekswerkIcon moet omhoog van 18 naar 21 jaar.,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1
t29,"Nederland moet in een wet vastleggen dat uiterlijk in 2035 ten minste 3,5 procent van het bruto binnenlands productIcon aan defensie wordt uitgegeven.",-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
t30,Er moeten meer kerncentralesIcon komen in Nederland.,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1
