statement_id,statement_text,party,stance_value
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,PVV,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,GroenLinks-PvdA,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,NSC,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,D66,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,BBB,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,SP,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,DENK,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Partij voor de Dieren,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,ChristenUnie,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Volt,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Vrede voor Dieren,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,BVNL,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,BIJ1,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,50PLUS,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Piratenpartij,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,FNP,1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,VVD,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,CDA,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,FvD,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,SGP,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,JA21,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Libertaire Partij,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,Vrij Verbond,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,De Linie,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,PVV,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,VVD,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,DENK,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,FvD,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,JA21,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,BVNL,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Libertaire Partij,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Vrij Verbond,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,De Linie,1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,SGP,0
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,GroenLinks-PvdA,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,NSC,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,D66,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,BBB,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,CDA,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,SP,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Partij voor de Dieren,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,ChristenUnie,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Volt,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Vrede voor Dieren,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,BIJ1,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,50PLUS,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,Piratenpartij,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,FNP,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,GroenLinks-PvdA,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,D66,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,CDA,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,SP,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,SGP,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,ChristenUnie,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Volt,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Vrede voor Dieren,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Libertaire Partij,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,FNP,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,PVV,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,VVD,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,NSC,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,BBB,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,DENK,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Partij voor de Dieren,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,FvD,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,JA21,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,BVNL,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,BIJ1,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,50PLUS,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Piratenpartij,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,Vrij Verbond,-1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,De Linie,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,GroenLinks-PvdA,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,VVD,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,NSC,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,D66,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,BBB,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,CDA,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,SP,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,DENK,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Partij voor de Dieren,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,SGP,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,ChristenUnie,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Volt,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,JA21,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Vrede voor Dieren,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,50PLUS,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,FNP,1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,PVV,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,FvD,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,BVNL,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,BIJ1,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Libertaire Partij,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Piratenpartij,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,Vrij Verbond,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,De Linie,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,GroenLinks-PvdA,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,NSC,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,D66,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,CDA,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,SP,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,DENK,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Partij voor de Dieren,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,SGP,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,ChristenUnie,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Volt,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Vrede voor Dieren,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,BIJ1,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,FNP,1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,PVV,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,VVD,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,BBB,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,FvD,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,JA21,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,BVNL,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Libertaire Partij,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,50PLUS,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Piratenpartij,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,Vrij Verbond,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,De Linie,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",PVV,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",GroenLinks-PvdA,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",VVD,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",NSC,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",D66,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",BBB,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",SP,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Partij voor de Dieren,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",JA21,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",BVNL,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",50PLUS,1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",CDA,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",DENK,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",FvD,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",SGP,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",ChristenUnie,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Volt,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Vrede voor Dieren,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",BIJ1,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Libertaire Partij,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Piratenpartij,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",FNP,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",Vrij Verbond,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",De Linie,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,PVV,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,GroenLinks-PvdA,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,NSC,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,D66,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Partij voor de Dieren,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Vrede voor Dieren,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Piratenpartij,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Vrij Verbond,1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,VVD,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,BBB,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,CDA,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,SP,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,DENK,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,FvD,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,SGP,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,ChristenUnie,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Volt,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,JA21,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,BVNL,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,BIJ1,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,Libertaire Partij,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,50PLUS,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,FNP,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,De Linie,-1
t10,Er moet minder geld naar de publieke omroepIcon.,PVV,1
t10,Er moet minder geld naar de publieke omroepIcon.,VVD,1
t10,Er moet minder geld naar de publieke omroepIcon.,BBB,1
t10,Er moet minder geld naar de publieke omroepIcon.,FvD,1
t10,Er moet minder geld naar de publieke omroepIcon.,SGP,1
t10,Er moet minder geld naar de publieke omroepIcon.,JA21,1
t10,Er moet minder geld naar de publieke omroepIcon.,BVNL,1
t10,Er moet minder geld naar de publieke omroepIcon.,Libertaire Partij,1
t10,Er moet minder geld naar de publieke omroepIcon.,Vrij Verbond,1
t10,Er moet minder geld naar de publieke omroepIcon.,De Linie,1
t10,Er moet minder geld naar de publieke omroepIcon.,GroenLinks-PvdA,-1
t10,Er moet minder geld naar de publieke omroepIcon.,NSC,-1
t10,Er moet minder geld naar de publieke omroepIcon.,D66,-1
t10,Er moet minder geld naar de publieke omroepIcon.,CDA,-1
t10,Er moet minder geld naar de publieke omroepIcon.,SP,-1
t10,Er moet minder geld naar de publieke omroepIcon.,DENK,-1
t10,Er moet minder geld naar de publieke omroepIcon.,Partij voor de Dieren,-1
t10,Er moet minder geld naar de publieke omroepIcon.,ChristenUnie,-1
t10,Er moet minder geld naar de publieke omroepIcon.,Volt,-1
t10,Er moet minder geld naar de publieke omroepIcon.,Vrede voor Dieren,-1
t10,Er moet minder geld naar de publieke omroepIcon.,BIJ1,-1
t10,Er moet minder geld naar de publieke omroepIcon.,50PLUS,-1
t10,Er moet minder geld naar de publieke omroepIcon.,Piratenpartij,-1
t10,Er moet minder geld naar de publieke omroepIcon.,FNP,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,GroenLinks-PvdA,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,D66,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,SP,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,DENK,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Partij voor de Dieren,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,FvD,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Volt,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Vrede voor Dieren,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,BIJ1,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Piratenpartij,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,PVV,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,VVD,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,NSC,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,BBB,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,CDA,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,SGP,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,ChristenUnie,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,JA21,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,BVNL,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Libertaire Partij,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,50PLUS,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,FNP,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,Vrij Verbond,-1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,De Linie,-1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",PVV,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",VVD,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",NSC,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",D66,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",BBB,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",CDA,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",SP,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",DENK,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",FvD,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",SGP,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",JA21,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",Vrede voor Dieren,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",BVNL,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",BIJ1,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",Libertaire Partij,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",50PLUS,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",Piratenpartij,1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",FNP,1
